,Unnamed: 0,car,location,delay,price,ARAI Mileage,Engine Displacement (cc),Max Torque (nm@rpm),Seating Capacity,Boot Space (Litres),Body Type,Fuel Type,Max Power (bhp@rpm),TransmissionType,Fuel Tank Capacity,Service Cost (Avg. of 5 years),City Mileage,Monthly Units Soldl
88,88,Ertiga,Indore,12 weeks,"8,64,315",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",,6352
89,89,Vitara Brezza,Indore,5 weeks,"8,39,799",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",,13172
90,90,Ignis,Delhi,1 month,"5,39,920",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,,14.65 kmpl,1721
91,91,Baleno,Delhi,1 month,"6,18,997",,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",,16717
92,92,Ciaz,Delhi,1 month,"9,29,062",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",,2934
93,93,S-Cross,Delhi,1 month,"10,00,437",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,2420
94,94,Ignis,Gurugram,1 month,"5,44,365",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,,14.65 kmpl,1721
95,95,Baleno,Gurugram,6 weeks,"6,24,232",,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",,16717
96,96,Ciaz,Gurugram,1 month,"9,36,789",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",,2934
97,97,S-Cross,Gurugram,1 month,"9,93,083",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,2420
98,98,Ignis,Noida,1 month,"5,57,571",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,,14.65 kmpl,1721
99,99,Baleno,Noida,1 month,"6,38,538",,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",,16717
100,100,Ciaz,Noida,1 month,"9,35,513",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",,2934
101,101,S-Cross,Noida,1 month,"9,90,129",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,2420
102,102,Ignis,Bengaluru,10 days,"6,05,963",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,,14.65 kmpl,1721
103,103,Baleno,Bengaluru,10 days,"7,12,141",,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",,16717
104,104,Ciaz,Bengaluru,10 days,"10,28,029",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",,2934
105,105,S-Cross,Bengaluru,10 days,"10,61,561",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,2420
106,106,Ignis,Mumbai,6 weeks,"5,67,805",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,,14.65 kmpl,1721
107,107,Baleno,Mumbai,6 weeks,"6,64,625",,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",,16717
108,108,Ciaz,Mumbai,6 weeks,"9,60,529",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",,2934
109,109,S-Cross,Mumbai,6 weeks,"10,36,696",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,2420
110,110,Ignis,Hyderabad,45 days,"5,91,363",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,,14.65 kmpl,1721
111,111,Baleno,Hyderabad,45 days,"6,86,687",,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",,16717
112,112,Ciaz,Hyderabad,45 days,"9,94,425",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",,2934
113,113,S-Cross,Hyderabad,45 days,"10,52,572",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,2420
114,114,Ignis,Pune,2 weeks,"5,72,755",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,,14.65 kmpl,1721
115,115,Baleno,Pune,3 weeks,"6,65,970",,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",,16717
116,116,Ciaz,Pune,3 weeks,"9,65,712",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",,2934
117,117,S-Cross,Pune,3 weeks,"10,39,192",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,2420
118,118,Ignis,Chennai,1 month,"5,67,862",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,,14.65 kmpl,1721
119,119,Baleno,Chennai,1 month,"6,60,264",,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",,16717
120,120,Ciaz,Chennai,1 month,"9,57,392",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",,2934
